,"Hartford, CT","Bridgeport, CT","New Haven, CT","Norwich, CT","Torrington, CT"
2018-11-30,239034.0171098438,457507.3276072675,235447.966386284,239716.6200792777,242426.6995138152
2018-12-31,238785.18489098048,457233.2504590874,235884.0784877633,239756.44330039545,242025.74835041832
2019-01-31,238648.54288569244,456330.95373525313,236374.73693695976,239992.33451706215,241866.69371675863
2019-02-28,238850.8450571623,455510.7684380901,236998.49619499664,240548.99457120127,242117.4686828444
2019-03-31,239336.1020305451,455362.99332299846,237829.81758204437,241017.379128714,242666.9396674336
2019-04-30,239845.45299589893,455806.7937397126,238669.0905864709,241382.20346711203,243225.77653027073
2019-05-31,240184.13258338624,455671.6348294937,239093.06555342473,241432.42376269863,243471.5007385431
2019-06-30,240391.25421610684,454903.0998898998,239340.2986400676,241501.55387728693,243735.65407212544
2019-07-31,240626.35614207096,454065.7087396445,239551.41579653675,241792.58730749975,244110.95339973664
2019-08-31,240821.2275442523,453289.0476907473,239812.94393569257,242393.9146099491,244768.57602884073
2019-09-30,240802.7419745341,452298.6025870719,239943.20773564125,242842.2639950652,244843.40080934772
2019-10-31,240851.86617849983,451740.2181360466,240310.77363154912,243512.40204400208,244803.6710861096
2019-11-30,241176.83482356375,451594.4889620664,241118.86655402053,244345.96267524528,244853.0416243456
2019-12-31,241774.7360743175,452065.92365578626,242175.64361135263,245259.2197637564,245522.9655652237
2020-01-31,242628.2635876323,453115.5036544802,243447.3171690836,246025.49521011612,246476.66258042335
2020-02-29,243581.97496412497,454666.7205432346,244644.5202757334,246735.83017737023,247449.2683655332
2020-03-31,244956.18441909188,456836.8854378941,246301.4916496426,247986.0726084304,248534.6227705129
2020-04-30,246414.73829598236,458365.5853719901,247894.7809251588,249446.4380745029,249650.34889083085
2020-05-31,247152.38638050275,458168.9421412847,248998.17335289795,250270.39152626088,250323.7201450424
2020-06-30,247288.77440132157,456499.5729101056,249268.8756014347,250360.40964299705,250615.98952056552
2020-07-31,247416.0470844943,455137.3597223619,249461.6614819015,250671.96613406792,251120.43996047543
2020-08-31,248697.4095782428,456875.39635566453,250664.5967894341,252287.97463565148,253175.9955997043
2020-09-30,251365.14346011,462398.5248064792,253443.92398234547,255633.9438116561,257191.66389272237
2020-10-31,254986.17553660736,470801.19253014354,257515.4876751185,260114.69591906204,262744.7785346384
2020-11-30,259266.986327188,480939.8997506685,262378.23397812975,265389.71752084454,269328.3758758365
2020-12-31,263529.50036502833,491566.4224243918,267499.8824372803,270814.4617994032,276078.3243495748
2021-01-31,267486.8006988812,501542.4069419547,272421.9727044269,275943.19801979087,282729.4837806883
2021-02-28,271236.3974634057,511102.6935747473,277232.661046742,281045.9006958862,289234.0698410899
2021-03-31,275012.3790884809,519880.4530843515,281933.62964415725,285910.477827316,295486.073783699
2021-04-30,278837.8733046542,528453.8619495463,286550.773500364,290485.5119614557,301151.6412530918
2021-05-31,282912.5701619266,537009.8026741528,291335.01714680356,295214.67980787717,306801.05537653517
2021-06-30,286893.64847925556,545438.0170458518,296063.5355965683,299996.8727346466,312575.33701163303
2021-07-31,289610.7771981025,551160.2642702392,299517.11280765926,303879.0148981802,317048.17833693797
2021-08-31,290381.65746731526,552943.0294226754,300826.4076799971,305666.04427868745,318672.4394126718
