,interest,vacancy,inflation,price,value,adj_price,adj_value,next_quarter,increase,interest_ratio,vacancy_ratio,price_ratio,value_ratio,inflation_ratio
2009-11-21,4.83,10.7,217.234,220395.0,242378.68261249,101455.1129197087,111574.929620819,89745.53688541565,0,0.9444235541851547,1.012556869881711,0.9803055962975277,0.9672200657284588,1.0150337963667255
2009-12-05,4.71,10.7,217.347,199448.0,242049.0459156269,91764.7816625028,111365.25736063847,109039.21270927938,1,0.9259385278439378,1.0114524631885111,0.8896877826303691,0.9673917586140571,1.015179214542498
2009-12-12,4.81,10.7,217.347,214000.0,242049.0459156269,98460.06616148372,111365.25736063847,90843.00653775195,0,0.9500151929504711,1.0103504630470308,0.9563234005925115,0.9688834637620334,1.0147969242309165
2009-12-19,4.94,10.7,217.347,223000.0,242049.0459156269,102600.91006547134,111365.25736063847,101217.83458245343,0,0.9778826753968557,1.009250861599855,0.9975713662262906,0.9702544432440747,1.0142551562406332
2009-12-26,5.05,10.7,217.347,208000.0,242049.0459156269,95699.5035588253,111365.25736063847,97537.1860521824,1,1.0012582453197088,1.008153651023736,0.931632266070592,0.9716293081224715,1.0137139664072894
2010-01-02,5.14,10.7,217.347,205000.0,240354.94159799733,94319.22225749608,110585.8105232634,103034.45674622705,1,1.0192967737014722,1.0070588235294118,0.919779760203235,0.9663245323064539,1.0131733538058936
2010-01-09,5.09,10.6,217.488,231000.0,240354.94159799733,106212.7565658795,110514.11645607911,103494.43199955842,0,1.009419930589985,0.9967450271247739,1.038136657053042,0.9675364814033164,1.0133260171518699
2010-01-16,5.06,10.6,217.488,201250.0,240354.94159799733,92533.84094754653,110514.11645607911,103494.43199955842,1,1.003279188591474,0.9958446251129177,0.9051217088144323,0.9687514743328657,1.0128219043821876
2010-01-23,4.99,10.6,217.488,197500.0,240354.94159799733,90809.60788641212,110514.11645607911,96594.80319958787,1,0.9892866674291814,0.9949458483754513,0.8907599570180131,0.9699695225764824,1.012318292938471
2010-01-30,4.98,10.6,217.488,219350.0,240354.94159799733,100856.1391892886,110514.11645607911,104069.40106622265,1,0.9878313942399392,0.99404869251578,0.9895733968884076,0.9711906376733651,1.0118151820732602
2010-02-06,5.01,10.6,217.281,216000.0,240387.9164287991,99410.44085769118,110634.57754189234,103226.10336416772,1,0.9941234831717928,0.9931531531531532,0.9748831324994808,0.9725457438825438,1.0103687297353707
2010-02-13,4.97,10.6,217.281,226950.0,240387.9164287991,104449.99792894915,110634.57754189234,103548.25348612454,0,0.9872411948964778,0.9922592259225922,1.0297608332604005,0.9738309572821021,1.0099554510237467
2010-02-20,4.93,10.6,217.281,245000.0,240387.9164287991,112757.2130098812,110634.57754189234,106769.75470569287,0,0.9801567577900974,0.9913669064748202,1.1065181824648482,0.9751195719801393,1.009542510266879
2010-02-27,5.05,10.6,217.281,195000.0,240387.9164287991,89745.53688541565,110634.57754189234,101707.39564637121,1,1.003976143141153,0.9904761904761905,0.8804782855299038,0.9764116014967757,1.0091299070503974
2010-03-06,4.97,10.6,217.353,237000.0,241648.48216677387,109039.21270927938,111177.8913411703,98987.56439946777,0,0.9884494760192764,0.9895870736086175,1.069933953022225,0.9827371456219779,1.0090454116841674
2010-03-13,4.95,10.6,217.353,197450.0,241648.48216677387,90843.00653775195,111177.8913411703,120166.2991081911,1,0.9852254459159459,0.988699551569507,0.8943013093552274,0.9837869670277911,1.0086079685194294
2010-03-20,4.96,10.6,217.353,220000.0,241648.48216677387,101217.83458245343,111177.8913411703,112799.78268776558,1,0.9874803782686933,0.9878136200716846,0.9955688483722536,0.9848390338022813,1.0081709044726164
2010-03-27,4.99,10.6,217.353,212000.0,241648.48216677387,97537.1860521824,111177.8913411703,112799.78268776558,1,0.9934150076569678,0.9869292748433304,0.9591159428838799,0.9858933531567862,1.007734219051087
2010-04-03,5.08,10.6,217.403,224000.0,244818.3455314582,103034.45674622705,112610.38050599956,110291.5833735438,1,1.0104425658876182,0.9860465116279069,1.0130529718510777,0.9996475260401287,1.0075251414372954
2010-04-10,5.21,10.6,217.403,225000.0,244818.3455314582,103494.43199955842,112610.38050599956,101445.27929045749,0,1.0345986404949208,0.9860465116279069,1.0171332178495927,1.000217982661149,1.0071038289336844
